Role,RoleCMDLet,Parameters
"Organization Transport Settings","Set-TransportConfig","AddressBookPolicyRoutingEnabled;AgentGeneratedMessageLoopDetectionInSmtpEnabled;AgentGeneratedMessageLoopDetectionInSubmissionEnabled;ClearCategories;Confirm;ConvertDisclaimerWrapperToEml;Debug;DiagnosticsAggregationServicePort;DomainController;DSNConversionMode;ErrorAction;ErrorVariable;ExternalDelayDsnEnabled;ExternalDsnDefaultLanguage;ExternalDsnLanguageDetectionEnabled;ExternalDsnMaxMessageAttachSize;ExternalDsnReportingAuthority;ExternalDsnSendHtml;ExternalPostmasterAddress;Force;GenerateCopyOfDSNFor;HeaderPromotionModeSetting;Identity;InternalDelayDsnEnabled;InternalDsnDefaultLanguage;InternalDsnLanguageDetectionEnabled;InternalDsnMaxMessageAttachSize;InternalDsnReportingAuthority;InternalDsnSendHtml;InternalSMTPServers;JournalingReportNdrTo;LegacyJournalingMigrationEnabled;MaxAllowedAgentGeneratedMessageDepth;MaxAllowedAgentGeneratedMessageDepthPerAgent;MaxDumpsterSizePerDatabase;MaxDumpsterTime;MaxReceiveSize;MaxRecipientEnvelopeLimit;MaxRetriesForLocalSiteShadow;MaxRetriesForRemoteSiteShadow;MaxSendSize;OutBuffer;OutVariable;QueueDiagnosticsAggregationInterval;RejectMessageOnShadowFailure;Rfc2231EncodingEnabled;SafetyNetHoldTime;ShadowHeartbeatFrequency;ShadowHeartbeatRetryCount;ShadowHeartbeatTimeoutInterval;ShadowMessageAutoDiscardInterval;ShadowMessagePreferenceSetting;ShadowRedundancyEnabled;ShadowResubmitTimeSpan;SupervisionTags;TLSReceiveDomainSecureList;TLSSendDomainSecureList;TransportRuleAttachmentTextScanLimit;Verbose;VerifySecureSubmitEnabled;VoicemailJournalingEnabled;WarningAction;WarningVariable;WhatIf;Xexch50Enabled"
"Organization Transport Settings","Get-IntraOrganizationConnector","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Organization Transport Settings","Get-IntraOrganizationConfiguration","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Organization Transport Settings","Write-AdminAuditLog","Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Organization Transport Settings","Test-OrganizationRelationship","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;UserIdentity;Verbose;WarningAction;WarningVariable;WhatIf"
"Organization Transport Settings","Set-SystemMessage","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;Name;Original;OutBuffer;OutVariable;Text;Verbose;WarningAction;WarningVariable;WhatIf"
"Organization Transport Settings","Set-AdSiteLink","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;ExchangeCost;Identity;MaxMessageSize;Name;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Organization Transport Settings","Remove-SystemMessage","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Organization Transport Settings","New-SystemMessage","Confirm;Debug;DomainController;DsnCode;ErrorAction;ErrorVariable;Internal;Language;OutBuffer;OutVariable;QuotaMessageType;Text;Verbose;WarningAction;WarningVariable;WhatIf"
"Organization Transport Settings","Get-TransportConfig","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Organization Transport Settings","Get-SystemMessage","Debug;DomainController;ErrorAction;ErrorVariable;Identity;Original;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Organization Transport Settings","Get-OrganizationRelationship","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Organization Transport Settings","Get-EdgeSyncServiceConfig","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Site;Verbose;WarningAction;WarningVariable"
"Organization Transport Settings","Get-DomainController","Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Organization Transport Settings","Get-AdSiteLink","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Organization Transport Settings","Get-ADSite","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"POP3 And IMAP4 Protocols","Get-ExchangeServerAccessLicense","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"POP3 And IMAP4 Protocols","Get-UMCallRouterSettings","Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"POP3 And IMAP4 Protocols","Get-ExchangeServerAccessLicenseUser","Debug;ErrorAction;ErrorVariable;LicenseName;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"POP3 And IMAP4 Protocols","Write-AdminAuditLog","Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"POP3 And IMAP4 Protocols","Set-PopSettings","AuthenticatedConnectionTimeout;Banner;CalendarItemRetrievalOption;Confirm;Debug;DomainController;EnableExactRFC822Size;EnableGSSAPIAndNTLMAuth;EnforceCertificateErrors;ErrorAction;ErrorVariable;ExtendedProtectionPolicy;ExternalConnectionSettings;InternalConnectionSettings;LogFileLocation;LogFileRollOverSettings;LoginType;LogPerFileSizeQuota;MaxCommandSize;MaxConnectionFromSingleIP;MaxConnections;MaxConnectionsPerUser;MessageRetrievalMimeFormat;MessageRetrievalSortOrder;OutBuffer;OutVariable;OwaServerUrl;PreAuthenticatedConnectionTimeout;ProtocolLogEnabled;ProxyTargetPort;Server;SSLBindings;SuppressReadReceipt;UnencryptedOrTLSBindings;Verbose;WarningAction;WarningVariable;WhatIf;X509CertificateName"
"POP3 And IMAP4 Protocols","Set-ImapSettings","AuthenticatedConnectionTimeout;Banner;CalendarItemRetrievalOption;Confirm;Debug;DomainController;EnableExactRFC822Size;EnableGSSAPIAndNTLMAuth;EnforceCertificateErrors;ErrorAction;ErrorVariable;ExtendedProtectionPolicy;ExternalConnectionSettings;InternalConnectionSettings;LogFileLocation;LogFileRollOverSettings;LoginType;LogPerFileSizeQuota;MaxCommandSize;MaxConnectionFromSingleIP;MaxConnections;MaxConnectionsPerUser;MessageRetrievalMimeFormat;OutBuffer;OutVariable;OwaServerUrl;PreAuthenticatedConnectionTimeout;ProtocolLogEnabled;ProxyTargetPort;Server;ShowHiddenFoldersEnabled;SSLBindings;SuppressReadReceipt;UnencryptedOrTLSBindings;Verbose;WarningAction;WarningVariable;WhatIf;X509CertificateName"
