Role,RoleCMDLet,Parameters
"Mail Recipients","Get-MailboxSpellingConfiguration","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;WarningAction;WarningVariable"
"Mail Recipients","Get-MailboxRegionalConfiguration","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;VerifyDefaultFolderNameLanguage;WarningAction;WarningVariable"
"Mail Recipients","Get-MailboxPermission","Credential;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Owner;ReadFromDomainController;ResultSize;User;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Get-MailboxMessageConfiguration","Credential;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Get-MailboxJunkEmailConfiguration","Credential;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Get-MailboxCalendarFolder","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Get-MailboxCalendarConfiguration","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Get-MailboxAutoReplyConfiguration","Credential;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Get-MailUser","Anr;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;SortBy;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Get-MailContact","Anr;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;ReadFromDomainController;RecipientTypeDetails;ResultSize;SortBy;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Get-LogonStatistics","Database;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Get-InboxRule","Debug;DescriptionTimeFormat;DescriptionTimeZone;DomainController;ErrorAction;ErrorVariable;Identity;Mailbox;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Get-DomainController","Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Get-Contact","Anr;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;ReadFromDomainController;RecipientTypeDetails;ResultSize;SortBy;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Get-CalendarProcessing","ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;WarningAction;WarningVariable"
"Mail Recipients","Get-CalendarNotification","Credential;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Get-ActiveSyncMailboxPolicy","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Get-ActiveSyncDeviceStatistics","Debug;DomainController;ErrorAction;ErrorVariable;GetMailboxLog;Identity;Mailbox;NotificationEmailAddresses;OutBuffer;OutVariable;ShowRecoveryPassword;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Get-AcceptedDomain","DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Get-ADServerSettings","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Mail Recipients","Enable-ServiceEmailChannel","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Mail Recipients","Enable-MailUser","Alias;Confirm;Debug;DisplayName;DomainController;ErrorAction;ErrorVariable;ExternalEmailAddress;Identity;MacAttachmentFormat;MessageBodyFormat;MessageFormat;OutBuffer;OutVariable;PrimarySmtpAddress;UsePreferMessageFormat;Verbose;WarningAction;WarningVariable;WhatIf"
"Mail Recipients","Enable-MailContact","Alias;Confirm;Debug;DisplayName;DomainController;ErrorAction;ErrorVariable;ExternalEmailAddress;Identity;MacAttachmentFormat;MessageBodyFormat;MessageFormat;OutBuffer;OutVariable;PrimarySmtpAddress;UsePreferMessageFormat;Verbose;WarningAction;WarningVariable;WhatIf"
"Mail Recipients","Enable-InboxRule","AlwaysDeleteOutlookRulesBlob;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Force;Identity;Mailbox;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Mail Recipients","Disable-ServiceEmailChannel","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Mail Recipients","Disable-MailContact","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;IgnoreDefaultScope;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Mail Recipients","Disable-InboxRule","AlwaysDeleteOutlookRulesBlob;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Force;Identity;Mailbox;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Mail Recipients","Clear-ActiveSyncDevice","Cancel;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;NotificationEmailAddresses;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Mail Recipients","Add-MailboxFolderPermission","AccessRights;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;User;Verbose;WarningAction;WarningVariable;WhatIf"
"Disaster Recovery","Set-MailboxRestoreRequest","AcceptLargeDataLoss;BadItemLimit;BatchName;CompletedRequestAgeLimit;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;InternalFlags;LargeItemLimit;OutBuffer;OutVariable;Priority;RehomeRequest;RemoteDatabaseGuid;RemoteHostName;RequestExpiryInterval;SkipMerging;Verbose;WarningAction;WarningVariable;WhatIf"
"Disaster Recovery","Remove-MailboxRestoreRequest","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Force;Identity;OutBuffer;OutVariable;RequestGuid;RequestQueue;Verbose;WarningAction;WarningVariable;WhatIf"
"Disaster Recovery","New-MailboxRestoreRequest","AcceptLargeDataLoss;AllowLegacyDNMismatch;AssociatedMessagesCopyOption;BadItemLimit;BatchName;CompletedRequestAgeLimit;Confirm;ConflictResolutionOption;Debug;DomainController;ErrorAction;ErrorVariable;ExcludeDumpster;ExcludeFolders;IncludeFolders;InternalFlags;LargeItemLimit;MRSServer;Name;OutBuffer;OutVariable;Priority;RequestExpiryInterval;SkipMerging;SourceDatabase;SourceIsArchive;SourceMailbox;SourceRootFolder;SourceStoreMailbox;Suspend;SuspendComment;TargetIsArchive;TargetMailbox;TargetRootFolder;TargetType;Verbose;WarningAction;WarningVariable;WhatIf;WorkloadType"
"Disaster Recovery","Set-MailboxDatabase","IsExcludedFromInitialProvisioning;IsExcludedFromProvisioningReason"
"Disaster Recovery","Get-MailboxRestoreRequestStatistics","Debug;Diagnostic;DiagnosticArgument;DomainController;ErrorAction;ErrorVariable;Identity;IncludeReport;MRSInstance;OutBuffer;OutVariable;ReportOnly;RequestGuid;RequestQueue;Verbose;WarningAction;WarningVariable"
"Disaster Recovery","Set-MailboxLocation","WhatIf"
"Disaster Recovery","Restore-DatabaseAvailabilityGroup","ActiveDirectorySite;AlternateWitnessDirectory;AlternateWitnessServer;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;UsePrimaryWitnessServer;Verbose;WarningAction;WarningVariable;WhatIf"
"Disaster Recovery","New-MailboxDatabase","AutoDagExcludeFromMonitoring;Confirm;Debug;DomainController;EdbFilePath;ErrorAction;ErrorVariable;IsExcludedFromInitialProvisioning;IsExcludedFromProvisioning;IsSuspendedFromProvisioning;LogFolderPath;Name;OfflineAddressBook;OutBuffer;OutVariable;PublicFolderDatabase;Recovery;Server;SkipDatabaseLogFolderCreation;Verbose;WarningAction;WarningVariable;WhatIf"
"Disaster Recovery","Get-MailboxRestoreRequest","BatchName;Debug;DomainController;ErrorAction;ErrorVariable;HighPriority;Identity;Name;OutBuffer;OutVariable;RequestQueue;ResultSize;SourceDatabase;Status;Suspend;TargetDatabase;TargetMailbox;Verbose;WarningAction;WarningVariable"
"Disaster Recovery","Write-AdminAuditLog","Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Disaster Recovery","Suspend-MailboxRestoreRequest","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;SuspendComment;Verbose;WarningAction;WarningVariable;WhatIf"
"Disaster Recovery","Stop-DatabaseAvailabilityGroup","ActiveDirectorySite;ConfigurationOnly;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;MailboxServer;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Disaster Recovery","Start-DatabaseAvailabilityGroup","ActiveDirectorySite;ConfigurationOnly;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;MailboxServer;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Disaster Recovery","Set-Mailbox","ArchiveDatabase;Confirm;Database;DomainController;Identity;IgnoreDefaultScope;WhatIf"
"Disaster Recovery","Resume-MailboxRestoreRequest","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Disaster Recovery","Restore-Mailbox","AllContentKeywords;AllowDuplicates;AttachmentFilenames;BadItemLimit;Confirm;ContentKeywords;Debug;EndDate;ErrorAction;ErrorVariable;ExcludeFolders;GlobalCatalog;Identity;IncludeFolders;Locale;MaxThreads;OutBuffer;OutVariable;RecipientKeywords;RecoveryDatabase;RecoveryMailbox;SenderKeywords;StartDate;SubjectKeywords;TargetFolder;ValidateOnly;Verbose;WarningAction;WarningVariable;WhatIf"
"Disaster Recovery","Get-DomainController","Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Public Folders","Set-OrganizationConfig","DefaultPublicFolderAgeLimit;DefaultPublicFolderDeletedItemRetention;DefaultPublicFolderIssueWarningQuota;DefaultPublicFolderMaxItemSize;DefaultPublicFolderMovedItemRetention;DefaultPublicFolderProhibitPostQuota;PublicFolderMailboxesLockedForNewConnections;PublicFolderMailboxesMigrationComplete;PublicFolderMigrationComplete;PublicFoldersEnabled;PublicFolderShowClientControl;PublicFoldersLockedForMigration;RemotePublicFolderMailboxes"
"Public Folders","Set-MailPublicFolder","ArbitrationMailbox;CreateDTMFMap;Server;UMDtmfMap"
"Public Folders","Set-Mailbox","DefaultPublicFolderMailbox;Identity;IsExcludedFromServingHierarchy;IsHierarchyReady;IsHierarchySyncEnabled;PublicFolder"
"Public Folders","New-Mailbox","Debug;HoldForMigration;IsExcludedFromServingHierarchy;Name;PublicFolder;Verbose;WarningAction;WarningVariable"
"Public Folders","Get-User","Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;OutBuffer;OutVariable;PublicFolder;ReadFromDomainController;RecipientTypeDetails;ResultSize;Verbose;WarningAction;WarningVariable"
"Public Folders","Get-MailPublicFolder","Server"
"Public Folders","Get-MailboxDatabase","IncludePreExchange2010"
"Public Folders","Get-Mailbox","Database;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;OutBuffer;OutVariable;PublicFolder;RecipientTypeDetails;ResultSize;Server;Verbose;WarningAction;WarningVariable"
"Public Folders","Get-PublicFolderDatabase","Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludeCorrupted;IncludePreExchange2010;OutBuffer;OutVariable;Server;Status;Verbose;WarningAction;WarningVariable"
"Public Folders","Suspend-PublicFolderMailboxMigrationRequest","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;SuspendComment;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Get-DefaultFolderHistory","Debug;DefaultFolderType;ErrorAction;ErrorVariable;FromDateTime;Identity;OutBuffer;OutVariable;ResultSize;ToDateTime;Verbose;WarningAction;WarningVariable"
"Public Folders","Set-UnifiedAuditSetting","Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Public Folders","Get-PublicFolderMoveRequestStatistics","Debug;Diagnostic;DiagnosticArgument;DomainController;ErrorAction;ErrorVariable;Identity;IncludeReport;OutBuffer;OutVariable;ReportOnly;RequestGuid;RequestQueue;Verbose;WarningAction;WarningVariable"
"Public Folders","Remove-PublicFolderMailboxMigrationRequest","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Force;Identity;OutBuffer;OutVariable;RequestGuid;RequestQueue;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Get-PublicFolderMigrationRequestStatistics","Debug;Diagnostic;DiagnosticArgument;DomainController;ErrorAction;ErrorVariable;Identity;IncludeReport;OutBuffer;OutVariable;ReportOnly;RequestGuid;RequestQueue;Verbose;WarningAction;WarningVariable"
"Public Folders","Remove-PublicFolderMigrationRequest","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Force;Identity;OutBuffer;OutVariable;RequestGuid;RequestQueue;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Get-PublicFolderMailboxMigrationRequestStatistics","Debug;Diagnostic;DiagnosticArgument;DomainController;ErrorAction;ErrorVariable;Identity;IncludeReport;OutBuffer;OutVariable;ReportOnly;RequestGuid;RequestQueue;Verbose;WarningAction;WarningVariable"
"Public Folders","Remove-PublicFolderMoveRequest","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Force;Identity;OutBuffer;OutVariable;RequestGuid;RequestQueue;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","New-PublicFolderMoveRequest","AcceptLargeDataLoss;AllowLargeItems;BadItemLimit;CompletedRequestAgeLimit;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Folders;InternalFlags;Name;OutBuffer;OutVariable;Priority;RequestExpiryInterval;Suspend;SuspendComment;SuspendWhenReadyToComplete;TargetMailbox;Verbose;WarningAction;WarningVariable;WhatIf;WorkloadType"
"Public Folders","New-PublicFolderMigrationRequest","AcceptLargeDataLoss;BadItemLimit;BatchName;CompletedRequestAgeLimit;Confirm;CSVData;CSVStream;Debug;DomainController;ErrorAction;ErrorVariable;InternalFlags;LargeItemLimit;MigrationMailbox;Name;OutBuffer;OutVariable;Priority;RequestExpiryInterval;SkipMerging;SourceDatabase;SourceEndpoint;Suspend;SuspendComment;Verbose;WarningAction;WarningVariable;WhatIf;WorkloadType"
"Public Folders","Start-AuditAssistant","Identity"
"Public Folders","Set-PublicFolderMoveRequest","AcceptLargeDataLoss;BadItemLimit;CompletedRequestAgeLimit;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;InternalFlags;LargeItemLimit;OutBuffer;OutVariable;Priority;RequestExpiryInterval;SuspendWhenReadyToComplete;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Get-PublicFolder","Debug;DomainController;ErrorAction;ErrorVariable;GetChildren;Identity;LostAndFound;Mailbox;OutBuffer;OutVariable;Recurse;ResidentFolders;ResultSize;Server;Verbose;WarningAction;WarningVariable"
"Public Folders","Get-UnifiedAuditSetting","Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;WarningAction;WarningVariable"
"Public Folders","Set-PublicFolderMailboxMigrationRequest","AcceptLargeDataLoss;BadItemLimit;CompletedRequestAgeLimit;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;InternalFlags;LargeItemLimit;OutBuffer;OutVariable;Priority;RehomeRequest;RequestExpiryInterval;SkipMerging;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Set-PublicFolderMigrationRequest","AcceptLargeDataLoss;BadItemLimit;BatchName;CompletedRequestAgeLimit;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;InternalFlags;LargeItemLimit;OutBuffer;OutVariable;PreventCompletion;Priority;RehomeRequest;RequestExpiryInterval;SkipMerging;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Update-PublicFolderMailbox","Confirm;CreateAssociatedDumpster;Debug;DomainController;ErrorAction;ErrorVariable;FolderId;ForceOnlineSync;FullSync;Identity;InvokeSynchronizer;OutBuffer;OutVariable;ReconcileFolders;SuppressStatus;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Resume-PublicFolderMoveRequest","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Resume-PublicFolderMigrationRequest","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Resume-PublicFolderMailboxMigrationRequest","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Suspend-PublicFolderMigrationRequest","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;SuspendComment;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","New-PublicFolder","Confirm;Debug;DomainController;EformsLocaleId;ErrorAction;ErrorVariable;Mailbox;Name;OutBuffer;OutVariable;Path;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Get-PublicFolderStatistics","Debug;DomainController;ErrorAction;ErrorVariable;Identity;Mailbox;OutBuffer;OutVariable;ResultSize;Server;Verbose;WarningAction;WarningVariable"
"Public Folders","Get-PublicFolderMoveRequest","BatchName;Debug;DomainController;ErrorAction;ErrorVariable;HighPriority;Identity;Name;OutBuffer;OutVariable;RequestQueue;ResultSize;Status;Suspend;Verbose;WarningAction;WarningVariable"
"Public Folders","Get-PublicFolderMigrationRequest","BatchName;Debug;DomainController;ErrorAction;ErrorVariable;HighPriority;Identity;Name;OutBuffer;OutVariable;RequestQueue;ResultSize;Status;Suspend;Verbose;WarningAction;WarningVariable"
"Public Folders","Get-PublicFolderMailboxMigrationRequest","BatchName;Debug;DomainController;ErrorAction;ErrorVariable;HighPriority;Identity;Name;OutBuffer;OutVariable;RequestQueue;ResultSize;Status;Suspend;Verbose;WarningAction;WarningVariable"
"Public Folders","Get-PublicFolderMailboxDiagnostics","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludeDumpsterInfo;IncludeHierarchyInfo;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Get-PublicFolderItemStatistics","Debug;DomainController;ErrorAction;ErrorVariable;Identity;Mailbox;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"Public Folders","Suspend-PublicFolderMoveRequest","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;SuspendComment;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Get-PublicFolderClientPermission","Debug;DomainController;ErrorAction;ErrorVariable;Identity;Mailbox;OutBuffer;OutVariable;Server;User;Verbose;WarningAction;WarningVariable"
"Public Folders","Set-PublicFolder","AgeLimit;Confirm;Debug;DomainController;EformsLocaleId;ErrorAction;ErrorVariable;Force;HiddenFromAddressListsEnabled;Identity;IssueWarningQuota;LocalReplicaAgeLimit;MailEnabled;MailRecipientGuid;MaxItemSize;Name;OutBuffer;OutVariable;OverrideContentMailbox;Path;PerUserReadStateEnabled;ProhibitPostQuota;Replicas;ReplicationSchedule;RetainDeletedItemsFor;Server;UseDatabaseAgeDefaults;UseDatabaseQuotaDefaults;UseDatabaseReplicationSchedule;UseDatabaseRetentionDefaults;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Update-PublicFolderHierarchy","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Update-PublicFolder","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Remove-PublicFolderClientPermission","AccessRights;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;User;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Remove-PublicFolderAdministrativePermission","AccessRights;Confirm;Debug;Deny;DomainController;ErrorAction;ErrorVariable;Identity;InheritanceType;Instance;OutBuffer;OutVariable;Server;User;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Remove-PublicFolder","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Recurse;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Get-PublicFolderAdministrativePermission","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Owner;Server;User;Verbose;WarningAction;WarningVariable"
"Public Folders","Add-PublicFolderClientPermission","AccessRights;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;User;Verbose;WarningAction;WarningVariable;WhatIf"
"Public Folders","Add-PublicFolderAdministrativePermission","AccessRights;Confirm;Debug;Deny;DomainController;ErrorAction;ErrorVariable;Identity;InheritanceType;Instance;OutBuffer;OutVariable;Owner;Server;User;Verbose;WarningAction;WarningVariable;WhatIf"
"Role Management","Get-ADServerSettings","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Role Management","Get-Recipient","Anr;BookmarkDisplayName;Credential;Database;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;IncludeBookmarkObject;IncludeSoftDeletedRecipients;OrganizationalUnit;OutBuffer;OutVariable;Properties;PropertySet;ReadFromDomainController;RecipientPreviewFilter;RecipientType;RecipientTypeDetails;ResultSize;SortBy;Verbose;WarningAction;WarningVariable"
"Role Management","Get-EligibleDistributionGroupForMigration","Debug;ErrorAction;ErrorVariable;Identity;ManagedBy;OrganizationalUnit;OutBuffer;OutVariable;ResultSize;Verbose;WarningAction;WarningVariable"
"Role Management","Set-ComplianceSecurityFilter","Action;Confirm;Debug;Description;DomainController;ErrorAction;ErrorVariable;FilterName;Filters;Force;OutBuffer;OutVariable;Region;Users;Verbose;WarningAction;WarningVariable;WhatIf"
"Role Management","New-ComplianceSecurityFilter","Action;Confirm;Debug;Description;DomainController;ErrorAction;ErrorVariable;FilterName;Filters;OutBuffer;OutVariable;Region;Users;Verbose;WarningAction;WarningVariable;WhatIf"
"Role Management","Get-ManagementRoleAssignment","AssignmentMethod;ConfigWriteScope;CustomConfigWriteScope;CustomRecipientWriteScope;Debug;Delegating;DomainController;Enabled;ErrorAction;ErrorVariable;Exclusive;ExclusiveConfigWriteScope;ExclusiveRecipientWriteScope;GetEffectiveUsers;Identity;OutBuffer;OutVariable;RecipientAdministrativeUnitScope;RecipientOrganizationalUnitScope;RecipientWriteScope;Role;RoleAssignee;RoleAssigneeType;Verbose;WarningAction;WarningVariable;WritableDatabase;WritableRecipient;WritableServer"
"Role Management","Get-User","Anr;Arbitration;AuditLog;AuxAuditLog;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;PublicFolder;ReadFromDomainController;RecipientTypeDetails;ResultSize;SortBy;SupervisoryReviewPolicy;Verbose;WarningAction;WarningVariable"
"Role Management","Get-MailboxPreferredLocation","Identity"
"Role Management","Get-Mailbox","Anr;Arbitration;Archive;AuditLog;AuxAuditLog;Credential;Database;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;Migration;Monitoring;OrganizationalUnit;OutBuffer;OutVariable;PublicFolder;ReadFromDomainController;RecipientTypeDetails;RemoteArchive;ResultSize;Server;SortBy;SupervisoryReviewPolicy;Verbose;WarningAction;WarningVariable"
"Role Management","Get-UnifiedAuditSetting","Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;WarningAction;WarningVariable"
"Role Management","Get-RbacDiagnosticInfo","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;UserName;Verbose;WarningAction;WarningVariable"
"Role Management","Remove-ComplianceSecurityFilter","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;FilterName;Force;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Role Management","New-ManagementRoleAssignment","Computer;Confirm;CustomConfigWriteScope;CustomRecipientWriteScope;Debug;Delegating;DomainController;ErrorAction;ErrorVariable;ExclusiveConfigWriteScope;ExclusiveRecipientWriteScope;Name;OutBuffer;OutVariable;Policy;RecipientAdministrativeUnitScope;RecipientOrganizationalUnitScope;RecipientRelativeWriteScope;Role;SecurityGroup;User;Verbose;WarningAction;WarningVariable;WhatIf"
"Role Management","Set-UnifiedAuditSetting","AlternativeTenantId;Debug;ErrorAction;ErrorVariable;Identity;IngestionEnabled;LoadBalancerCount;OutBuffer;OutVariable;RefreshInterval;RetentionDays;Verbose;WarningAction;WarningVariable"
"Role Management","Start-AuditAssistant","BacklogAssistant;ExpectedFoldersCount;FolderTimeRangeSpecifierUTC;Identity"
"Role Management","Get-ComplianceSecurityFilter","Action;Debug;DomainController;ErrorAction;ErrorVariable;FilterName;OutBuffer;OutVariable;User;Verbose;WarningAction;WarningVariable"
"Role Management","Set-ManagementRoleAssignment","Confirm;CustomConfigWriteScope;CustomRecipientWriteScope;Debug;DomainController;Enabled;ErrorAction;ErrorVariable;ExclusiveConfigWriteScope;ExclusiveRecipientWriteScope;Identity;OutBuffer;OutVariable;RecipientAdministrativeUnitScope;RecipientOrganizationalUnitScope;RecipientRelativeWriteScope;Verbose;WarningAction;WarningVariable;WhatIf"
"Role Management","New-ManagementRole","Confirm;Debug;Description;DomainController;EnabledCmdlets;ErrorAction;ErrorVariable;Name;OutBuffer;OutVariable;Parent;Verbose;WarningAction;WarningVariable;WhatIf"
"Role Management","Get-OrganizationalUnit","Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludeContainers;OutBuffer;OutVariable;ResultSize;SearchText;SingleNodeOnly;Verbose;WarningAction;WarningVariable"
"Role Management","Get-ExchangeServerAccessLicenseUser","Debug;ErrorAction;ErrorVariable;LicenseName;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"Role Management","Get-ExchangeServerAccessLicense","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"Role Management","Write-AdminAuditLog","Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Role Management","Update-RoleGroupMember","BypassSecurityGroupManagerCheck;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;Members;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
